      1 bacterium
      1 bacterium
      1 bacterium
      1 bacterium
      1 bacterium
      1 bacterium
      1 bacterium
      1 bacterium
      1 bacterium
      1 bacterium
      1 bacterium AC2028
      1 bacterium AC2028
      1 bacterium Miz1
      1 bacterium NLAE-zl-C461
      1 bacterium endosymbiont
      2 Aquitalea sp.
      2 Aquitalea sp.
      2 Aquitalea sp.
      2 Aquitalea sp.
      2 Aquitalea sp.
      2 Aquitalea sp.
      2 Aquitalea sp.
      2 Aquitalea sp.
      2 Aquitalea sp.
      2 Aquitalea sp.
      2 Aquitalea sp.
      2 Aquitalea sp.
      2 Aquitalea sp.
      2 Aquitalea sp.
      2 Aquitalea sp.
      2 Aquitalea sp.
      2 Aquitalea sp.
      2 Aquitalea sp.
      2 Aquitalea sp.
      2 Aquitalea sp.
      2 Aquitalea sp.
      2 Aquitalea sp.
      2 Aquitalea sp.
      2 Aquitalea sp.
      2 Aquitalea sp.
      2 Aquitalea sp.
      2 Aquitalea sp.
      2 Aquitalea sp.
      2 Aquitalea sp.
      2 Aquitalea sp.
      2 Aquitalea sp.
      2 Aquitalea sp.
      2 Aquitalea sp.
      2 Aquitalea sp.
      2 Aquitalea sp.
      2 Aquitalea sp.
      2 Aquitalea sp.
      2 Aquitalea sp.
      2 Aquitalea sp.
      2 Aquitalea sp.
      2 Aquitalea sp.
      2 Aquitalea sp.
      2 Aquitalea sp.
      2 Aquitalea sp.
      2 Aquitalea sp.
      2 Aquitalea sp.
      2 Aquitalea sp.
      2 Aquitalea sp.
      2 Aquitalea sp.
      2 Aquitalea sp.
      2 Aquitalea sp.
      2 Aquitalea sp.
      2 Aquitalea sp.
      2 Aquitalea sp.
      2 Aquitalea sp.
      2 Aquitalea sp.
      2 Aquitalea sp.
      2 Aquitalea sp.
      2 Aquitalea sp.
      2 Aquitalea sp.
      2 Aquitalea sp.
      2 Aquitalea sp.
      2 Aquitalea sp.
      2 Aquitalea sp.
      2 Bacillus sp.
      2 Solemya pervernicosa
      2 Solemya pervernicosa
      2 Solemya pervernicosa
      2 Solemya pervernicosa
      2 Solemya pervernicosa
      2 Solemya pervernicosa
      2 Solemya pervernicosa
      2 Solemya pervernicosa
      2 Solemya pervernicosa
      2 Solemya pervernicosa
      2 Solemya pervernicosa
      2 Solemya pervernicosa
      2 Solemya pervernicosa
      2 Solemya pervernicosa
      2 Solemya pervernicosa
      2 Solemya pervernicosa
