      1 Staphylococcus succinus
      1 Staphylococcus succinus
      1 Staphylococcus succinus
      1 Staphylococcus succinus
      1 Staphylococcus succinus
      1 Staphylococcus succinus
      1 Staphylococcus succinus
      1 Streptococcus mitis
      1 Streptomyces guanduensis
      1 Streptomyces guanduensis
      1 Streptomyces guanduensis
      1 Streptomyces guanduensis
      1 Streptomyces guanduensis
      1 Streptomyces guanduensis
      1 Streptomyces guanduensis
      1 Streptomyces guanduensis
      1 Streptomyces guanduensis
      1 Streptomyces guanduensis
      1 Streptomyces guanduensis
      1 Streptomyces guanduensis
      1 Streptomyces guanduensis
      1 Streptomyces guanduensis
      1 Streptomyces guanduensis
      1 Streptomyces guanduensis
      1 Streptomyces parvisporogenes
      1 Streptomyces parvisporogenes
      1 Streptomyces pratensis
      1 Streptomyces sioyaensis
      1 Streptomyces sioyaensis
      1 Streptomyces sioyaensis
      1 Streptomyces sioyaensis
      1 Streptomyces sp.
      1 Streptomyces sp.
      1 Streptomyces sp.
      1 Streptomyces sp.
      1 [Clostridium] methylpentosum;[Clostridium]
      1 [Clostridium] methylpentosum;[Clostridium]
      1 [Clostridium] methylpentosum;[Clostridium]
      1 bacterium
      1 bacterium
      1 bacterium
      1 bacterium
      1 bacterium
      1 bacterium
      1 bacterium
      1 bacterium
      1 bacterium
      1 bacterium
      1 bacterium
      1 bacterium
      1 bacterium
      1 bacterium
      1 bacterium
      1 bacterium
      1 bacterium
      1 bacterium
      1 bacterium
      1 bacterium
      1 bacterium
      1 bacterium
      1 bacterium
      1 bacterium
      1 bacterium
      1 bacterium
      1 bacterium 15(2016)
      1 bacterium 15(2016)
      1 bacterium 15(2016)
      1 bacterium 21_oclvp54
      1 bacterium 21_oclvp54
      1 bacterium 8_xplvp75
      1 bacterium AC3010
      1 bacterium AE3015
      1 bacterium AE3018
      1 bacterium ASF500
      1 bacterium BEL
      1 bacterium BEL
      1 bacterium CS57
      1 bacterium FB2012
      1 bacterium FB2012
      1 bacterium FB2012
      1 bacterium FB2012
      1 bacterium FB2012
      1 bacterium FB2012
      1 bacterium FB2012
      1 bacterium FB2012
      1 bacterium FB2012
